,Version,ReleaseDate,PlayerNeeds,ssFullName,ssAbbr,ssID
,,,,,,
,,,,,,
Header,Version,Release Date,Master?,Full Speadsheet Name,ssAbbr,ssID
,1.0,2026.07.17,TRUE,Character Sheet,CS,1JxVG-eRxkgbwOM37b9ac7L18_QdeoeOn1yNE98zVtKc
,1.0,2026.07.17,TRUE,Data Base,DB,1v3ixyJa8EoxLRTYpxVtqPm6AmWLFALHZSdEufjNxS8s
,1.0,2026.07.17,FALSE,Tables,Tbls,1sLzQD2ZOXMmpogsg--_X2COixUAJSizQ3nXXl0Uow80
,1.0,2026.07.17,TRUE,Custom Abilities,Cust,11Cr3PdnD8-IhYGPt4LNukscoB57liKzD-emgRYstsiw
,1.0,2026.07.17,TRUE,Rules,Rules,1inO7aIh76xr8J1Rt0LaIyzsPlQQTTwxdZG33wl-PxUE
